movieId,title,genres,original_language,cast,director,keywords,release_year
862,Toy Story,"['animation,comedy,family']",en,"['tomhanks', 'timallen', 'donrickles']",johnlasseter,"['jealousy,toy,boy,friendship,friends,rivalry,boynextdoor,newtoy,toycomestolife']",1995
8844,Jumanji,"['adventure,fantasy,family']",en,"['robinwilliams', 'jonathanhyde', 'kirstendunst']",joejohnston,"[""boardgame,disappearance,basedonchildren'sbook,newhome,recluse,giantinsect""]",1995
15602,Grumpier Old Men,"['romance,comedy']",en,"['waltermatthau', 'jacklemmon', 'ann-margret']",howarddeutch,"['fishing,bestfriend,duringcreditsstinger,oldmen']",1995
31357,Waiting To Exhale,"['comedy,drama,romance']",en,"['whitneyhouston', 'angelabassett', 'lorettadevine']",forestwhitaker,"['basedonnovel,interracialrelationship,singlemother,divorce,chickflick']",1995
11862,Father Of The Bride Part Ii,['comedy'],en,"['stevemartin', 'dianekeaton', 'martinshort']",charlesshyer,"['baby,midlifecrisis,confidence,aging,daughter,motherdaughterrelationship,pregnancy,contraception,gynecologist']",1995
949,Heat,"['action,crime,drama,thriller']",en,"['alpacino', 'robertdeniro', 'valkilmer']",michaelmann,"['robbery,detective,bank,obsession,chase,shooting,thief,honor,murder,suspense,heist,betrayal,money,gang,catandmouse,criminalmastermind,cultfilm,ex-con,heistmovie,onelastjob,loner,bankjob,neo-noir,gunfight,crimeepic']",1995
11860,Sabrina,"['comedy,romance']",en,"['harrisonford', 'juliaormond', 'gregkinnear']",sydneypollack,"['paris,brotherbrotherrelationship,chauffeur,longisland,fusion,millionaire']",1995
9091,Sudden Death,"['action,adventure,thriller']",en,"['jean-claudevandamme', 'powersboothe', 'dorianharewood']",peterhyams,"['terrorist,hostage,explosive,vicepresident']",1995
710,Goldeneye,"['adventure,action,thriller']",en,"['piercebrosnan', 'seanbean', 'izabellascorupco']",martincampbell,"['cuba,falselyaccused,secretidentity,computervirus,secretbase,secretintelligenceservice,kgb,satellite,specialcar,cossack,electromagneticpulse,timebomb,st.petersburgrussia,ejectionseat,redarmy']",1995
9087,The American President,"['comedy,drama,romance']",en,"['michaeldouglas', 'annettebening', 'michaelj.fox']",robreiner,"['whitehouse,usapresident,newlove,widower,wildlifeconservation']",1995
12110,Dracula Dead And Loving It,"['comedy,horror']",en,"['leslienielsen', 'melbrooks', 'amyyasbeck']",melbrooks,"['dracula,spoof']",1995
21032,Balto,"['family,animation,adventure']",en,"['kevinbacon', 'bobhoskins', 'bridgetfonda']",simonwells,"['wolf,dog-sleddingrace,alaska,dog,goose,bearattack,dogsled,frozenlake']",1995
10858,Nixon,"['history,drama']",en,"['anthonyhopkins', 'joanallen', 'powersboothe']",oliverstone,"['usapresident,presidentialelection,watergatescandal,biography,government,historicalfigure']",1995
1408,Cutthroat Island,"['action,adventure']",en,"['geenadavis', 'matthewmodine', 'franklangella']",rennyharlin,"['exoticisland,treasure,map,ship,scalp,pirate']",1995
524,Casino,"['drama,crime']",en,"['robertdeniro', 'sharonstone', 'joepesci']",martinscorsese,"['poker,drugabuse,1970s,overdose,illegalprostitution']",1995
4584,Sense And Sensibility,"['drama,romance']",en,"['katewinslet', 'emmathompson', 'hughgrant']",anglee,"['bowling,basedonnovel,servant,countrylife,janeausten,inheritance,militaryofficer,perioddrama,rainstorm,horseandcarriage,decorum']",1995
5,Four Rooms,"['crime,comedy']",en,"['timroth', 'antoniobanderas', 'jenniferbeals']",allisonanders,"[""hotel,newyear'seve,witch,bet,hotelroom,sperm,losangeles,hoodlum,womandirector,episodefilm""]",1995
9273,Ace Ventura When Nature Calls,"['crime,comedy,adventure']",en,"['jimcarrey', 'ianmcneice', 'simoncallow']",steveoedekerk,"['africa,indigenous,humananimalrelationship,bat']",1995
11517,Money Train,"['action,comedy,crime']",en,"['wesleysnipes', 'woodyharrelson', 'jenniferlopez']",josephruben,"['brotherbrotherrelationship,subway,newyorkcity,newyorksubway,trainrobbery']",1995
